code,計算書,別表,テーブル,L0,区分,L1,活動・部,L2,大区分,L3,中区分,L3.5,内訳グループ,L4,小区分,階層種別,正規名,is_amount,is_total,is_optional
PL-03-03-11-00-00-00,PL,別表第二_事業活動計算書,0,03,収益,03,特別増減の部,11,特別収益計,00,,00,,00,,集計,特別収益計,1,1,0
PL-04-01-16-00-00-00,PL,別表第二_事業活動計算書,0,04,費用,01,サービス活動増減の部,16,サービス活動費用計,00,,00,,00,,集計,サービス活動費用計,1,1,0
PL-04-02-10-00-00-00,PL,別表第二_事業活動計算書,0,04,費用,02,サービス活動外増減の部,10,サービス活動外費用計,00,,00,,00,,集計,サービス活動外費用計,1,1,0
PL-04-03-12-00-00-00,PL,別表第二_事業活動計算書,0,04,費用,03,特別増減の部,12,特別費用計,00,,00,,00,,集計,特別費用計,1,1,0
PL-90-00-01-00-00-00,PL,別表第二_事業活動計算書,0,90,集計,00,,01,サービス活動増減差額,00,,00,,00,,集計,サービス活動増減差額,1,1,0
PL-90-00-02-00-00-00,PL,別表第二_事業活動計算書,0,90,集計,00,,02,サービス活動外増減差額,00,,00,,00,,集計,サービス活動外増減差額,1,1,0
PL-90-00-03-00-00-00,PL,別表第二_事業活動計算書,0,90,集計,00,,03,経常増減差額,00,,00,,00,,集計,経常増減差額,1,1,0
PL-90-00-04-00-00-00,PL,別表第二_事業活動計算書,0,90,集計,00,,04,特別増減差額,00,,00,,00,,集計,特別増減差額,1,1,0
PL-90-00-05-00-00-00,PL,別表第二_事業活動計算書,0,90,集計,00,,05,税引前当期活動増減差額,00,,00,,00,,集計,税引前当期活動増減差額,1,1,1
PL-90-00-06-00-00-00,PL,別表第二_事業活動計算書,0,90,集計,00,,06,法人税住民税及び事業税,00,,00,,00,,集計,法人税住民税及び事業税,1,1,1
PL-90-00-07-00-00-00,PL,別表第二_事業活動計算書,0,90,集計,00,,07,法人税等調整額,00,,00,,00,,集計,法人税等調整額,1,1,1
PL-90-00-08-00-00-00,PL,別表第二_事業活動計算書,0,90,集計,00,,08,当期活動増減差額,00,,00,,00,,集計,当期活動増減差額,1,1,0
BS-90-00-01-00-00-00,BS,別表第三_貸借対照表,0,90,集計,00,,01,資産の部合計,00,,00,,00,,集計,資産の部合計,1,1,0
BS-90-00-02-00-00-00,BS,別表第三_貸借対照表,0,90,集計,00,,02,負債の部合計,00,,00,,00,,集計,負債の部合計,1,1,0
BS-90-00-03-00-00-00,BS,別表第三_貸借対照表,0,90,集計,00,,03,純資産の部合計,00,,00,,00,,集計,純資産の部合計,1,1,0
BS-90-00-04-00-00-00,BS,別表第三_貸借対照表,0,90,集計,00,,04,負債及び純資産の部合計,00,,00,,00,,集計,負債及び純資産の部合計,1,1,0
