タイプ,科目名,値ほか
segwari,BS-3-2,事業区分間貸付金,"(0, 0, 0, 0, 0, 0)",L-8080105000129-0001,LC-00001
segwari,BS-3-2,事業区分間借入金,"(0, 0, 0, 0, 0, 0)",L-8080105000129-0002,LC-00002
