タイプ,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
kyoten4,concept,LC-00080,期末製品（商品）棚卸高,期末製品(商品)棚卸高,L-8080105000129-0076,費用,PL,8080105000129,PL-2-4,0,期末製品（商品）棚卸高
kyoten4,instance,L-8080105000129-0080,期末製品（商品）棚卸高,期末製品(商品)棚卸高,LC-00080,費用,PL,8080105000129,PL-2-4,0,期末製品（商品）棚卸高
kyoten4,concept,LC-00081,受入研修費収益,受入研修費収益,PL-SO-REV-040,収益,PL,8080105000129,PL-2-4,0,受入研修費収益
kyoten4,instance,L-8080105000129-0081,受入研修費収益,受入研修費収益,LC-00081,収益,PL,8080105000129,PL-2-4,0,受入研修費収益
kyoten4,concept,LC-00082,利用者等外給食収益,利用者等外給食収益,PL-SO-REV-040,収益,PL,8080105000129,PL-2-4,0,利用者等外給食収益
kyoten4,instance,L-8080105000129-0082,利用者等外給食収益,利用者等外給食収益,LC-00082,収益,PL,8080105000129,PL-2-4,0,利用者等外給食収益
kyoten4,concept,LC-00083,雑収益,雑収益,PL-SO-REV-040,収益,PL,8080105000129,PL-2-4,0,雑収益
kyoten4,instance,L-8080105000129-0083,雑収益,雑収益,LC-00083,収益,PL,8080105000129,PL-2-4,0,雑収益
kyoten4,concept,LC-00084,利用者等外給食費,利用者等外給食費,PL-SO-EXP-030,費用,PL,8080105000129,PL-2-4,0,利用者等外給食費
kyoten4,instance,L-8080105000129-0084,利用者等外給食費,利用者等外給食費,LC-00084,費用,PL,8080105000129,PL-2-4,0,利用者等外給食費
kyoten4,concept,LC-00085,雑費,雑費,PL-SO-EXP-030,費用,PL,8080105000129,PL-2-4,0,雑費
kyoten4,instance,L-8080105000129-0085,雑費,雑費,LC-00085,費用,PL,8080105000129,PL-2-4,0,雑費
kyoten4,concept,LC-00086,雑損失,雑損失,PL-SO-EXP-030,費用,PL,8080105000129,PL-2-4,0,雑損失
kyoten4,instance,L-8080105000129-0086,雑損失,雑損失,LC-00086,費用,PL,8080105000129,PL-2-4,0,雑損失
kyoten4,concept,LC-00087,施設整備等補助金収益,施設整備等補助金収益,PL-T-REV-010,収益,PL,8080105000129,PL-2-4,0,施設整備等補助金収益
kyoten4,instance,L-8080105000129-0087,施設整備等補助金収益,施設整備等補助金収益,LC-00087,収益,PL,8080105000129,PL-2-4,0,施設整備等補助金収益
kyoten4,concept,LC-00088,設備資金借入金元金償還補助金収益,設備資金借入金元金償還補助金収益,PL-T-REV-010,収益,PL,8080105000129,PL-2-4,0,設備資金借入金元金償還補助金収益
kyoten4,instance,L-8080105000129-0088,設備資金借入金元金償還補助金収益,設備資金借入金元金償還補助金収益,LC-00088,収益,PL,8080105000129,PL-2-4,0,設備資金借入金元金償還補助金収益
kyoten4,concept,LC-00089,固定資産受贈額,固定資産受贈額,PL-T-REV-020,収益,PL,8080105000129,PL-2-4,0,固定資産受贈額
kyoten4,instance,L-8080105000129-0089,固定資産受贈額,固定資産受贈額,LC-00089,収益,PL,8080105000129,PL-2-4,0,固定資産受贈額
kyoten4,concept,LC-00090,器具及び備品受贈額,器具及び備品受贈額,PL-T-REV-020,収益,PL,8080105000129,PL-2-4,0,器具及び備品受贈額
kyoten4,instance,L-8080105000129-0090,器具及び備品受贈額,器具及び備品受贈額,LC-00090,収益,PL,8080105000129,PL-2-4,0,器具及び備品受贈額
kyoten4,concept,LC-00091,車輛運搬具受贈額,車輛運搬具受贈額,PL-T-REV-020,収益,PL,8080105000129,PL-2-4,0,車輛運搬具受贈額
kyoten4,instance,L-8080105000129-0091,車輛運搬具受贈額,車輛運搬具受贈額,LC-00091,収益,PL,8080105000129,PL-2-4,0,車輛運搬具受贈額
kyoten4,concept,LC-00092,車輌運搬具売却益,車輌運搬具売却益,PL-T-REV-030,収益,PL,8080105000129,PL-2-4,0,車輌運搬具売却益
kyoten4,instance,L-8080105000129-0092,車輌運搬具売却益,車輌運搬具売却益,LC-00092,収益,PL,8080105000129,PL-2-4,0,車輌運搬具売却益
kyoten4,concept,LC-00093,器具及び備品売却益,器具及び備品売却益,PL-T-REV-030,収益,PL,8080105000129,PL-2-4,0,器具及び備品売却益
kyoten4,instance,L-8080105000129-0093,器具及び備品売却益,器具及び備品売却益,LC-00093,収益,PL,8080105000129,PL-2-4,0,器具及び備品売却益
kyoten4,concept,LC-00094,退職給付引当金戻入益,退職給付引当金戻入益,PL-T-REV-050,収益,PL,8080105000129,PL-2-4,0,退職給付引当金戻入益
